timestamp,type,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,emg_9,emg_10,emg_11,emg_12,emg_13,emg_14,emg_15
11630,IMU,0.69,-0.05,0.03,-0.72,-0.01,-0.14,0.87,6.44,-12.75,29.19
11631,EMG,3,-10,-2,-12,-13,-6,3,-1,-1,-50,-3,-51,-6,1,-1,3
11632,IMU,0.69,-0.06,0.03,-0.72,-0.01,-0.13,0.88,3.00,-18.06,37.13
11655,IMU,0.70,-0.06,0.03,-0.71,0.01,-0.12,0.89,1.44,-22.62,42.81
11680,EMG,-1,-24,-2,-22,-5,-2,0,-7,-4,8,-3,5,-16,-2,-4,-4
11681,IMU,0.70,-0.06,0.03,-0.71,0.03,-0.10,0.89,-0.37,-20.19,43.94
11705,IMU,0.71,-0.06,0.03,-0.70,0.02,-0.11,0.89,1.12,-14.31,43.44
11706,EMG,-1,-44,2,-47,-3,-2,-2,1,-2,-56,6,-56,-3,-3,-3,-7
11730,IMU,0.71,-0.06,0.02,-0.70,0.00,-0.13,0.88,2.62,-12.50,45.13
11731,IMU,0.72,-0.06,0.02,-0.69,0.00,-0.12,0.88,5.37,-15.13,46.63
11755,EMG,2,15,0,16,-1,0,1,4,0,-23,-2,-24,8,2,0,1
11756,IMU,0.73,-0.06,0.02,-0.68,0.02,-0.11,0.88,8.31,-12.50,46.69
11780,IMU,0.73,-0.06,0.02,-0.68,0.03,-0.10,0.89,8.50,-14.19,46.63
11781,EMG,-3,12,0,8,15,1,-6,0,-3,-16,-1,-14,-1,0,-2,-9
11805,IMU,0.74,-0.06,0.02,-0.67,0.04,-0.09,0.89,5.94,-14.19,46.13
11830,IMU,0.74,-0.06,0.02,-0.67,0.04,-0.10,0.89,6.50,-13.75,40.25
11831,EMG,1,10,-4,8,1,-6,-3,-3,2,-2,-1,5,8,0,3,0
11832,IMU,0.75,-0.07,0.01,-0.66,0.04,-0.11,0.89,3.31,-10.25,38.44
11855,IMU,0.75,-0.06,0.01,-0.66,0.03,-0.11,0.89,6.62,-5.81,42.69
11880,EMG,-1,-6,-3,1,-7,-3,-4,1,0,3,-4,3,-6,-1,1,-7
11881,IMU,0.76,-0.06,0.01,-0.65,0.03,-0.10,0.88,11.25,-10.75,44.75
11905,IMU,0.76,-0.06,0.01,-0.64,0.05,-0.09,0.89,7.31,-12.81,48.44
11906,EMG,1,10,3,11,-6,1,3,2,-2,10,4,13,-4,6,-1,0
11930,IMU,0.77,-0.06,0.01,-0.64,0.03,-0.10,0.89,6.06,-13.13,49.50
11931,IMU,0.77,-0.06,0.01,-0.63,0.05,-0.08,0.87,9.06,-14.94,47.81
11980,EMG,0,2,-3,4,-7,-1,-3,-3,-1,0,-1,-1,-9,-4,0,2
11982,IMU,0.78,-0.06,0.00,-0.63,0.05,-0.09,0.89,10.50,-11.81,36.88
11983,EMG,2,-28,-4,-35,-11,-7,-9,-5,-3,35,-2,36,10,6,4,2
11993,IMU,0.78,-0.06,0.00,-0.62,0.05,-0.10,0.89,11.38,-9.44,31.37
12005,IMU,0.79,-0.06,0.00,-0.62,0.06,-0.10,0.86,4.69,-6.25,34.56
12030,IMU,0.79,-0.06,-0.00,-0.61,0.04,-0.08,0.87,8.56,-11.00,36.81
